conceptType,conceptUri,skillType,reuseLevel,preferredLabel,status,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/001115fb-569f-4ee6-8381-c6807ef2527f,skill/competence,transversal,prokazovat iniciativu,released,,"Být proaktivní a činit první kroky bez čekání na to, co řeknou nebo učiní ostatní.
  ",http://data.europa.eu/esco/skill/91860993-1a8b-4473-91f3-600aa1924bd0,zaujmout proaktivní přístup
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0171653e-c8e9-4c24-bb86-a4b6fe038f25,skill/competence,transversal,usilovat o podporu biologické rozmanitosti a dobrých životních podmínek zvířat,released,,"Jednat způsobem, který pomáhá udržovat stabilní ekosystémy a bojuje proti vymírání druhů, například uvědomělou volbou stravy, která podporuje výrobu biopotravin a dobré životní podmínky zvířat.
  ",http://data.europa.eu/esco/skill/80cf002a-6586-4db7-9c9a-88325a9a5e1b,uplatňování dovedností a schopností souvisejících s životním prostředím
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/045f71e6-0699-4169-8a54-9c6b96f3174d,skill/competence,transversal,radit ostatním,released,,"Nabízet návrhy týkající se nejlepšího doporučeného postupu.
  ",http://data.europa.eu/esco/skill/82463bb1-85d1-4e99-a4ce-08508fc3b2a3,podpora ostatních
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/05aa7c09-46e7-433f-a81b-92841f4551e7,skill/competence,cross-sector,přijímat kritiku a rady,released,,"Zvládat negativní zpětnou vazbu od ostatních, otevřeně reagovat na kritiku a pokusit se skrze ni nalézt potenciální oblasti ke zlepšení.
  ",http://data.europa.eu/esco/skill/f5c9eef3-0495-4747-9519-d71a58d252bd,prokázat vůli učit se
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0b709c64-a57a-4976-86bd-34d2cf34fa4f,skill/competence,transversal,"uplatňovat znalost filozofie, etiky a náboženství",released,,"Nalézt a rozvíjet vlastní pohled na úlohy, smysl a účel jednotlivce, včetně toho, co znamená žít, zemřít a být člověkem.
  ",http://data.europa.eu/esco/skill/44ff6716-7d71-4a16-821b-61d10e9e290d,uplatňování obecných znalostí
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0d75a128-bd88-4c1b-b70d-8e963aeb490c,skill/competence,transversal,usilovat o snížení znečištění,released,,"Přijímat opatření na snížení hluku, světelného znečištění, znečištění vzduchu, vody nebo životního prostředí, například používáním veřejné dopravy, nezanecháváním odpadků v přírodním prostředí a snižováním nepotřebných emisí světelného záření a hluku, a to zejména v noci.
  ",http://data.europa.eu/esco/skill/80cf002a-6586-4db7-9c9a-88325a9a5e1b,uplatňování dovedností a schopností souvisejících s životním prostředím
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/113b4428-0a31-4199-8496-070af7854b91,skill/competence,transversal,plnit své závazky,released,,"Plnit úkoly sebedisciplinovaným, spolehlivým a na cíl orientovaným způsobem.",http://data.europa.eu/esco/skill/14c41899-0224-4cbc-bd8c-e946ada2da87,pracovat efektivně
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/13b4a3d2-abdf-4442-8e52-d7464a58ecbc,skill/competence,transversal,přizpůsobit se fyzickým nárokům,released,,"Projevit schopnost vydržet vysokou fyzickou pracovní nebo sportovní zátěž. Patří sem klečení, stání nebo běhání po delší dobu nebo práce za nepříznivých meteorologických podmínek, jako je velké teplo, zima a déšť.
  ",http://data.europa.eu/esco/skill/e52389a2-1a05-45b0-8db3-4bda0f0c0b48,reakce na fyzické okolnosti
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/199f7919-5114-41b6-b6a5-41e0e4896ec1,skill/competence,transversal,převzít odpovědnost,released,,"Přijmout zodpovědnost a odpovědnost za vlastní profesní rozhodnutí a činy, jakož i za ty, které byly delegovány na jiné.
  ",http://data.europa.eu/esco/skill/91860993-1a8b-4473-91f3-600aa1924bd0,zaujmout proaktivní přístup
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/19a64e91-bfe3-4c48-9225-3bb1229b12f0,skill/competence,transversal,projevovat odhodlání,released,,"Projevovat odhodlání vykonávat činnost, která je obtížná a vyžaduje náročnou práci. Projevovat velké úsilí vedené zájmem nebo radostí z práce samotné, a to bez vnějších tlaků.
  ",http://data.europa.eu/esco/skill/91860993-1a8b-4473-91f3-600aa1924bd0,zaujmout proaktivní přístup
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/19ba11f3-9c99-41fd-a7c9-f77e6a026186,skill/competence,transversal,provádět výpočty,released,,"Řešit matematické problémy za účelem dosažení pracovních cílů.
  ",http://data.europa.eu/esco/skill/edc72cfe-78a8-4531-b00f-92992a0bb8cb,práce s čísly a mírami
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1d1fedcb-4995-44ac-90f5-f31a157ce512,skill/competence,transversal,zvládat frustraci,released,,"Udržovat klid a reagovat konstruktivním způsobem na svůj nebo cizí vztek nebo v případě, že čelíte překážkám či stížnostem.",http://data.europa.eu/esco/skill/2b2c3254-7f6c-47e2-84f1-aece946fbfae,udržovat pozitivní přístup
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1dabb413-18e8-48ed-a963-44978e67ad32,skill/competence,transversal,provádět výpočty pravděpodobnosti,released,,"Předpovídat pravděpodobnost výsledku na základě výpočtů nebo zkušeností.
  ",http://data.europa.eu/esco/skill/edc72cfe-78a8-4531-b00f-92992a0bb8cb,práce s čísly a mírami
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1ddc021d-d818-4731-904f-842d7491f419,skill/competence,transversal,spravovat finanční a materiální zdroje,released,,"Provádět účinné finanční plánování pomocí příspěvků, spoření, investic a důchodů za účelem dosažení krátkodobých i dlouhodobých cílů, používat kritické myšlení při využívání služeb finančního poradenství, porovnávat nabídky při pořizování výrobků či služeb a aktivně vybírat vhodné pojistné produkty.
  ",http://data.europa.eu/esco/skill/6c6957bf-cf1f-4483-9c7e-1655f251b01a,uplatňování podnikatelských a finančních dovedností a kompetencí
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1fce1197-3a5b-45b7-8797-575cd3b57a01,skill/competence,transversal,projevovat oddanost,released,,"Projevovat ochotu okamžitě přijmout úkoly, i když jsou obtížné nebo nepříjemné.
  ",http://data.europa.eu/esco/skill/91860993-1a8b-4473-91f3-600aa1924bd0,zaujmout proaktivní přístup
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/20012caa-b63c-4cb9-b2b8-01a1cfdfc1d1,skill/competence,transversal,myslet rychle,released,,"Mít schopnost rychle a přesně pochopit a zpracovat nejdůležitější aspekty faktů a jejich souvislostí.
  ",http://data.europa.eu/esco/skill/fff1d675-c36a-4c12-9cd4-407f21ccd06a,"zpracování informací, nápadů a koncepcí"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2aaad52d-599e-4e77-a681-bbc236825821,skill/competence,transversal,hodnotit dopad osobního chování na životní prostředí,released,,"Přijmout způsob myšlení orientovaný na udržitelnost v každodenním životě a reflektovat svůj osobní ekologický postoj a dopad vlastního chování na životní prostředí.
  ",http://data.europa.eu/esco/skill/80cf002a-6586-4db7-9c9a-88325a9a5e1b,uplatňování dovedností a schopností souvisejících s životním prostředím
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/35ebe444-9ece-4fbc-a55d-e99ea37267ae,skill/competence,transversal,řídit kvalitu,released,,"Usilovat o excelentní výsledky v oblasti postupů, produktů a činností na pracovišti.",http://data.europa.eu/esco/skill/14c41899-0224-4cbc-bd8c-e946ada2da87,pracovat efektivně
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/409a0245-0e6c-4aac-ba16-0920ecb76a8d,skill/competence,transversal,provádět sebereflexi,released,,"Efektivně, pravidelně a systematicky reflektovat vlastní činnost, výkon a postoje, provádět nezbytné úpravy a vyhledávat příležitosti k profesnímu rozvoji s cílem odstranit nedostatky ve znalostech a praxi v oblastech, kde je to zapotřebí.
  ",http://data.europa.eu/esco/skill/f5c9eef3-0495-4747-9519-d71a58d252bd,prokázat vůli učit se
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/429062f1-a958-43ea-83dd-4e1af078c156,skill/competence,transversal,být zvídavý,released,,"Projevovat živý zájem o novinky, otevřenost vůči novým zkušenostem, schopnost nadchnout se pro nové téma, aktivně zkoumat a objevovat nové oblastí.",http://data.europa.eu/esco/skill/f5c9eef3-0495-4747-9519-d71a58d252bd,prokázat vůli učit se
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/468135b7-5757-48c3-9509-fde0e13ec5be,skill/competence,transversal,starat se o osobní rozvoj,released,,"Převzít odpovědnost za své dovednosti a kompetence a zúročit je ve svůj prospěch v pracovním i soukromém životě.
  ",http://data.europa.eu/esco/skill/91860993-1a8b-4473-91f3-600aa1924bd0,zaujmout proaktivní přístup
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/469748ce-051a-407e-9099-0c9415ac2705,skill/competence,transversal,pozitivně přistupovat k výzvám,released,,"Zaujímat pozitivní postoj a konstruktivní přístup k řešení výzev.
  ",http://data.europa.eu/esco/skill/2b2c3254-7f6c-47e2-84f1-aece946fbfae,udržovat pozitivní přístup
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4707da90-9cfc-46ca-8de0-38a0b7bfb137,skill/competence,transversal,myslet analyticky,released,určovat slabé a silné stránky | myslet logicky | přemýšlet analyticky,"Přinášet úvahy s využitím logiky a uvažování s cílem identifikovat silné a slabé stránky alternativních řešení, závěrů nebo přístupů k problémům.",http://data.europa.eu/esco/skill/fff1d675-c36a-4c12-9cd4-407f21ccd06a,"zpracování informací, nápadů a koncepcí"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/49de9958-2aa4-4eef-a89d-fe5d5bcd28c4,skill/competence,transversal,přizpůsobit se změnám,released,,Měnit postoj nebo chování jednotlivce s cílem přizpůsobit se změnám na pracovišti.,http://data.europa.eu/esco/skill/f5c9eef3-0495-4747-9519-d71a58d252bd,prokázat vůli učit se
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4c3ab565-747c-4db3-8c47-79e8d6f98cf4,skill/competence,transversal,usilovat o snížení negativního dopadu spotřeby,released,,"Uplatňovat zásady, politiku a předpisy zaměřené na environmentální udržitelnost, včetně snižování množství odpadu a spotřeby vody a energií, opětovného používání a recyklace výrobků a zapojení se do sdílené ekonomiky.
  ",http://data.europa.eu/esco/skill/80cf002a-6586-4db7-9c9a-88325a9a5e1b,uplatňování dovedností a schopností souvisejících s životním prostředím
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4c772721-9280-49cb-9988-b6ea3d36b06d,skill/competence,transversal,udržovat si psychologickou pohodu,released,,"Mít schopnost vyvarovat se narušení psychologické pohody, například při používání digitálních technologií, včetně udržování zdravé rovnováhy mezi prací, osobním životem a vzděláváním.
  ",http://data.europa.eu/esco/skill/3d54fec5-d9cb-45a0-bf8d-ffaf3790a5bb,uplatňování dovedností a schopností souvisejících se zdravím
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4cde32b5-fc2f-4257-a8b9-5b15a67ee3e5,skill/competence,transversal,chránit zdraví ostatních,released,,"Předcházet újmě rodinných příslušníků, svěřených osob a spoluobčanů a pomáhat jim při zotavení, včetně příslušné reakce v případě nehod, jako je například poskytnutí první pomoci.
  ",http://data.europa.eu/esco/skill/3d54fec5-d9cb-45a0-bf8d-ffaf3790a5bb,uplatňování dovedností a schopností souvisejících se zdravím
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/5b0f2198-7246-4256-a902-4d9ce1260c80,skill/competence,transversal,zajistit orientaci na zákazníka,released,,"Porozumět přáním zákazníků a zaujmout pozitivní postoj při interakci, poskytování rad, prodeji výrobků či služeb nebo při řešení stížností.
  ",http://data.europa.eu/esco/skill/82463bb1-85d1-4e99-a4ce-08508fc3b2a3,podpora ostatních
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/5b46f572-7ced-4efd-b270-a81a164d521c,skill/competence,transversal,moderovat diskuze,released,,"Používat moderní techniky a metody vedení diskuzí dvou či více osob, včetně situací, jako jsou semináře, konference nebo on-line akce. Zajistit korektnost a zdvořilost debaty.
  ",http://data.europa.eu/esco/skill/6f142deb-03a9-4cd7-94ce-e0f023ae2169,komunikace
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/5c3ab99d-a3f1-4620-9602-d12d2151a03d,skill/competence,transversal,"uplatňovat znalost vědy, technologií a techniky",released,,"Rozvíjet a uplatňovat porozumění fyzikálnímu světu a jeho základním principům, například vytvářením podložených předpovědí ohledně příčin a důsledků, koncipováním testů těchto předpovědí a prováděním měření s použitím vhodných jednotek, nástrojů a vybavení.
  ",http://data.europa.eu/esco/skill/44ff6716-7d71-4a16-821b-61d10e9e290d,uplatňování obecných znalostí
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/5c526c52-4f0a-4647-8c51-c91568acebb1,skill/competence,transversal,zpracovávat prostorové informace,released,,"Mít schopnost mentálně si představit umístění a vztah těles v trojrozměrném prostoru a vyvinout si dobrý smysl pro proporce.
  ",http://data.europa.eu/esco/skill/edc72cfe-78a8-4531-b00f-92992a0bb8cb,práce s čísly a mírami
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/5ca953f7-541d-4f67-bc55-7721348366cf,skill/competence,transversal,respektovat rozmanitost kulturních hodnot a norem,released,,"Prokazovat mezikulturní kompetenci a respektovat kulturní hodnoty a normy druhých. Projevovat toleranci a uznání vůči různým hodnotám a normám, jež zastávají různí lidé a různé kultury, které se vyvíjely za různých okolností nebo v různých dobách a na různých místech.
  ",http://data.europa.eu/esco/skill/d6e97b91-b75d-45f5-8566-667798957b0f,uplatňování občanských dovedností a schopností
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/5cd1930c-278d-4929-b413-27352f5b3687,skill/competence,transversal,zvládat nejistotu,released,,"Tolerovat nejistotu a konstruktivně pracovat v neočekávaných a nepředvídatelných situacích.
  ",http://data.europa.eu/esco/skill/2b2c3254-7f6c-47e2-84f1-aece946fbfae,udržovat pozitivní přístup
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/609a8ac1-9d29-4237-9886-596dbbe7ca8a,skill/competence,transversal,oslovovat příjemce sdělení,released,,"Hovořit strukturovaným a rozvážným způsobem přímo ke skupině posluchačů s cílem je informovat, ovlivnit nebo pobavit.
  ",http://data.europa.eu/esco/skill/6f142deb-03a9-4cd7-94ce-e0f023ae2169,komunikace
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/60c78287-22eb-4103-9c8c-28deaa460da0,skill/competence,transversal,pracovat v týmech,released,,"S jistotou pracovat v rámci skupiny, v níž každý plní svůj úkol v zájmu všech.",http://data.europa.eu/esco/skill/036afa6e-cdde-4b38-a53a-8e7910a840e1,spolupráce v týmech a v rámci sítí
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/669b75d8-671c-4a1c-8e0b-6466c513c27d,skill/competence,transversal,jednat sebevědomě,released,,"Prokazovat stupeň zralosti prostřednictvím plného pochopení vlastních kvalit a schopností, které mohou sloužit jako zdroje sebedůvěry v různých situacích.",http://data.europa.eu/esco/skill/2b2c3254-7f6c-47e2-84f1-aece946fbfae,udržovat pozitivní přístup
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/699e7c26-6502-4e78-a823-3656ff5a5b8b,skill/competence,transversal,poskytovat poradenství ostatním,released,,Vést nebo učit ostatní poskytováním příslušných znalostí a podpory.,http://data.europa.eu/esco/skill/82463bb1-85d1-4e99-a4ce-08508fc3b2a3,podpora ostatních
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/6b2f8802-0cbf-436e-a37f-ca55ede41bbc,skill/competence,transversal,obsluhovat digitální hardware,released,,"Používat zařízení, jako je monitor, myš, klávesnice, zařízení pro ukládání dat, tiskárny a skenery za účelem provádění operací, jako je zapojení, spuštění, vypnutí, restartování, ukládání souborů a jiné operace.
  ",http://data.europa.eu/esco/skill/3399045f-8078-4066-8b46-475b49b260ab,práce s digitálními přístroji a aplikacemi
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/6b305973-8993-475f-bd8a-daf037c61401,skill/competence,transversal,"třídit informace, cíle a zdroje",released,,"Porozumět vlastním úkolům a postupům, které s nimi souvisejí. Třídit informace, předměty a zdroje pomocí systematických metod a podle stanovených norem a zajistit zvládnutí úkolu.
  ",http://data.europa.eu/esco/skill/66fdc34c-2326-4baa-b8ff-7a1d1015fe3a,plánování a organizování
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/6fc6f757-6baa-49fe-9a82-6ba6a52f2e13,skill/competence,transversal,interpretovat matematické informace,released,,"Prokázat pochopení matematických pojmů a koncepcí a uplatňovat základní matematické zásady a postupy za účelem interpretace dat a faktů.
  ",http://data.europa.eu/esco/skill/edc72cfe-78a8-4531-b00f-92992a0bb8cb,práce s čísly a mírami
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/72d1fa5d-1b7f-48e7-84e3-6e779841ddf1,skill/competence,transversal,prokazovat loajalitu,released,,"Prokazovat sounáležitost se skupinou nebo organizací, mj. sdílením a reprezentováním jejich hodnot.
  ",http://data.europa.eu/esco/skill/925af2b5-2f4d-4cce-92cc-79e1ff887c7d,jednat v souladu s etickým kodexem chování
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/75d8e5d9-bef3-418b-9011-01bff9f27207,skill/competence,transversal,vést ostatní,released,,"Vést a směrovat ostatní ke společnému cíli, často ve skupině nebo týmu.",http://data.europa.eu/esco/skill/fe5eabaa-63f6-4c44-b405-fc3ded8d56cb,vedení ostatních
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/77b636e8-fab3-41a8-8022-1e0a354059dc,skill/competence,transversal,dát najevo empatii,released,,"Dát najevo empatii s cílem zabránit jakémukoli symbolickému násilí a izolaci a zajistit, aby byla věnována pozornost každému. Měla by zahrnovat schopnost porozumět různému verbálnímu a neverbálnímu sdělování nálady a pocitu.",http://data.europa.eu/esco/skill/82463bb1-85d1-4e99-a4ce-08508fc3b2a3,podpora ostatních
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/7954861c-86d4-4529-afbb-2c23dab9ac74,skill/competence,transversal,vyjednat kompromis,released,,"Komunikovat s ostatními se záměrem dosáhnout společného porozumění nebo vyřešit neshodu, aniž by byl opomenut vlastní záměr nebo záměry a cíle ostatních.",http://data.europa.eu/esco/skill/6f142deb-03a9-4cd7-94ce-e0f023ae2169,komunikace
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/7a147904-22b3-498a-b4d9-7bceeb86b45d,skill/competence,transversal,zvládat stres,released,,"Zvládat výzvy, překážky a změny a dokázat se zotavit z nezdarů a nesnází.
  ",http://data.europa.eu/esco/skill/2b2c3254-7f6c-47e2-84f1-aece946fbfae,udržovat pozitivní přístup
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/7a93e22f-54d8-4bf0-9213-d711f6601b49,skill/competence,transversal,pracovat efektivně,released,,"Dosáhnout cílů za použití minimálního času, úsilí nebo nákladů.",http://data.europa.eu/esco/skill/14c41899-0224-4cbc-bd8c-e946ada2da87,pracovat efektivně
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/7d9bace0-63d0-4848-ac87-350a98082c12,skill/competence,transversal,aktivně se zapojovat do občanského života,released,,"Aktivně se podílet na činnostech společného nebo veřejného zájmu, jako jsou občanské, společenské či sousedské iniciativy, příležitosti k dobrovolným činnostem a nevládní organizace.
  ",http://data.europa.eu/esco/skill/d6e97b91-b75d-45f5-8566-667798957b0f,uplatňování občanských dovedností a schopností
